Score_Rank,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking,Country,University,Rank
9,13833,5.7,28,46,54,89.1,91.4,96.7,52.7,76.0,90.2,90.2,United States,University of Chicago,0 to 100
411,6793,12.1,4,54,46,21.2,13.9,32.3,34.4,37.5,23.9,22.2,Portugal,University of Tr�s-os-Montes and Alto Douro,> 300
498,15973,18.8,6,65,35,17.8,8.5,10.2,34.7,39.5,14.8,10.7,Malaysia,Universiti Malaysia Sarawak (UNIMAS),> 300
459,6799,9.6,2,39,61,21.5,12.4,18.8,47.6,22.9,18.7,10.7,Japan,Saga University,> 300
456,418053,36.0,0,45,55,11.4,6.9,30.8,34.4,45.8,19.0,10.7,Nepal,Tribhuvan University,> 300
479,34158,13.4,1,50,50,23.3,9.7,14.2,39.6,20.4,16.7,10.7,Brazil,Federal University of Goi�s,> 300
249,7284,14.8,1,20,80,48.5,27.9,49.0,73.9,17.6,40.8,38.8,India,Indian Institute of Technology Delhi,200 to 300
307,25140,27.4,6,56,44,18.1,18.9,65.7,39.4,38.1,34.7,28.3,Italy,University of Parma,> 300
334,34916,10.4,8,36,64,32.1,25.7,36.8,42.7,31.5,31.8,28.3,Japan,Keio University,> 300
108,3215,10.3,3,23,77,51.7,50.9,72.2,99.6,32.9,57.4,57.4,South Korea,Pohang University of Science and Technology (POSTECH),100 to 200
296,2146,18.2,0,34,66,38.3,24.1,47.1,77.4,14.4,35.9,35.3,India,Institute of Chemical Technology,200 to 300
266,20186,15.4,26,45,55,17.8,16.2,71.0,34.9,87.7,39.0,38.8,United Kingdom,University of Portsmouth,200 to 300
342,14542,35.1,3,61,39,31.2,15.6,46.8,39.0,25.3,31.0,28.3,United States,University of South Dakota,> 300
188,13911,26.6,17,58,42,27.1,29.9,76.3,42.4,79.8,47.0,46.9,Ireland,"National University of Ireland, Galway",100 to 200
47,35419,9.4,8,57,43,59.7,63.2,96.9,43.9,38.0,69.9,69.9,United States,University of North Carolina at Chapel Hill,0 to 100
73,22609,12.3,21,57,43,47.0,46.7,88.2,53.0,92.2,62.8,62.8,Switzerland,University of Zurich,0 to 100
416,14962,11.4,3,52,48,20.3,13.7,32.5,36.3,31.6,23.2,22.2,Spain,University of A Coru�a,> 300
529,46705,27.5,3,48,52,11.2,8.4,11.5,34.5,17.6,11.5,10.7,Turkey,S�leyman Demirel University,> 300
399,5652,14.0,83,46,54,19.2,14.8,23.0,37.5,94.8,25.1,22.2,United Arab Emirates,American University of Sharjah,> 300
268,6332,27.5,0,46,54,15.1,15.5,91.8,35.7,15.6,38.8,38.8,Iran,Yasouj University,200 to 300
226,21512,13.4,17,58,42,15.8,9.0,100.0,40.2,62.3,43.1,42.4,Jordan,Jordan University of Science and Technology,200 to 300
501,6570,14.1,2,57,43,17.7,8.4,9.7,36.2,37.5,14.5,10.7,Slovakia,Slovak University of Agriculture in Nitra,> 300
330,9774,16.5,12,51,49,24.7,25.5,40.7,41.4,52.5,32.2,28.3,Portugal,University of Aveiro,> 300
122,32821,22.1,32,56,44,31.4,43.9,80.2,62.4,94.0,55.3,55.2,New Zealand,University of Auckland,100 to 200
157,32838,18.3,14,43,57,37.5,42.3,70.9,47.5,54.0,50.4,50.1,United States,Virginia Polytechnic Institute and State University,100 to 200
376,9738,15.2,5,70,30,17.7,13.3,46.1,34.5,47.3,27.5,22.2,Czech Republic,University of South Bohemia in ?esk� Bud?jovice,> 300
427,10812,10.3,3,32,68,21.5,14.4,27.9,40.8,24.5,22.0,10.7,Japan,Shinshu University,> 300
190,18022,23.1,30,63,37,17.9,14.4,99.9,35.1,83.7,46.8,44.5,United Kingdom,Anglia Ruskin University,100 to 200
413,16782,20.4,10,55,45,16.7,14.1,34.7,35.8,38.8,23.5,22.2,Spain,University of Ja�n,> 300
459,7118,9.5,3,37,63,20.9,11.8,20.7,43.7,20.5,18.7,10.7,Japan,Mie University,> 300
10,16760,11.7,56,38,62,84.5,87.6,97.0,69.9,97.1,89.8,89.8,United Kingdom,Imperial College London,0 to 100
511,12219,26.3,3,48,52,14.8,12.1,8.2,65.6,18.0,13.5,10.7,Taiwan,National Chiayi University,> 300
316,13915,16.2,28,59,41,28.5,24.0,37.4,34.6,78.4,33.7,28.3,United Kingdom,Oxford Brookes University,> 300
319,18587,15.5,11,51,49,33.7,13.9,48.7,42.8,46.2,33.4,28.3,United States,University of Toledo,> 300
57,28741,18.7,16,59,41,48.3,65.0,83.1,72.7,79.4,66.7,66.7,Netherlands,Leiden University,0 to 100
427,21138,5.6,11,55,45,24.3,9.6,20.7,42.8,61.2,22.0,10.7,Kazakhstan,Al-Farabi Kazakh National University,> 300
336,10473,45.7,24,43,57,33.0,26.5,26.8,67.8,53.6,31.6,28.3,Germany,Chemnitz University of Technology,> 300
163,20268,30.5,25,58,42,31.5,39.4,65.8,82.5,89.3,49.8,46.9,Australia,University of South Australia,100 to 200
348,14953,11.3,3,10,90,30.8,16.4,46.7,34.6,17.7,30.4,28.3,India,Banaras Hindu University,> 300
429,47488,47.9,0,60,40,12.8,7.9,37.8,34.6,45.7,21.8,10.7,Egypt,South Valley University,> 300
216,18915,31.9,12,51,49,36.9,36.1,56.0,49.0,55.7,44.1,42.4,Germany,University of Bremen,200 to 300
255,32020,18.7,15,55,45,27.4,27.9,62.1,38.7,53.9,40.2,38.8,Portugal,University of Porto,200 to 300
423,13782,20.9,1,61,39,30.9,22.6,13.4,45.5,17.5,22.5,22.2,Iran,University of Isfahan,> 300
290,15127,13.7,18,57,43,20.5,19.9,57.7,61.0,74.1,36.5,35.3,Canada,Memorial University of Newfoundland,200 to 300
132,23488,13.1,18,60,40,48.6,32.4,81.5,35.0,55.5,53.8,53.8,United States,George Washington University,100 to 200
197,15676,9.2,11,30,70,47.8,47.8,43.4,76.8,32.8,46.1,44.5,Japan,Nagoya University,100 to 200
378,28934,16.7,4,0,0,20.5,17.2,43.1,45.6,25.5,27.3,22.2,China,"China University of Geosciences, Wuhan",> 300
117,44801,11.2,17,52,48,47.8,48.5,73.9,41.1,51.5,56.0,56.0,United States,"Rutgers, the State University of New Jersey",100 to 200
450,81914,33.4,5,57,43,28.2,9.9,16.7,41.6,27.8,19.6,10.7,Morocco,Mohammed V University of Rabat,> 300
288,9694,17.0,8,48,52,33.3,21.1,53.4,36.2,45.9,36.7,35.3,United States,University of Idaho,200 to 300
368,8898,24.2,12,50,50,23.0,26.4,29.3,39.8,49.3,28.3,28.3,Portugal,ISCTE-University Institute of Lisbon,> 300
467,84587,36.4,1,45,55,15.0,7.9,24.9,36.5,35.2,17.9,10.7,Egypt,Menoufia University,> 300
477,23082,8.6,11,45,55,24.1,11.6,9.3,40.3,31.5,16.9,10.7,India,Manipal Academy of Higher Education,> 300
124,12195,18.6,26,34,66,41.8,39.4,76.7,48.3,82.3,54.8,54.8,Finland,Aalto University,100 to 200
295,6882,6.8,13,0,100,27.2,15.9,51.7,64.4,78.7,36.0,35.3,Saudi Arabia,King Fahd University of Petroleum and Minerals,200 to 300
486,19508,37.4,2,55,45,18.8,12.2,11.9,68.0,19.6,16.0,10.7,Turkey,Yeditepe University,> 300
150,28945,11.6,12,52,48,43.1,29.5,82.3,54.0,46.5,51.3,50.1,United States,University of Iowa,100 to 200
471,7810,21.3,10,39,61,31.3,8.2,8.4,34.8,30.6,17.5,10.7,India,University of Mysore,> 300
407,19067,27.3,3,24,76,13.6,9.8,40.2,44.9,54.5,24.3,22.2,Chile,Federico Santa Mar�a Technical University,> 300
115,23057,13.8,33,55,45,35.2,37.5,88.8,38.8,92.2,56.3,56.3,United Kingdom,University of Liverpool,100 to 200
268,48623,12.7,18,62,38,32.9,25.9,53.0,34.8,58.7,38.8,38.8,Czech Republic,Charles University in Prague,200 to 300
197,3198,9.5,0,27,73,23.9,23.5,85.3,70.5,59.7,46.1,44.5,China,Southern University of Science and Technology (SUSTech),100 to 200
174,26521,27.3,30,55,45,24.1,35.5,75.3,47.0,91.1,48.5,46.9,Canada,Simon Fraser University,100 to 200
297,20312,21.9,13,65,35,22.9,18.3,56.1,35.8,76.0,35.8,35.3,Austria,University of Graz,200 to 300
173,20063,53.9,11,57,43,36.8,40.8,65.2,56.2,57.4,48.6,46.9,Germany,University of Potsdam,100 to 200
224,5189,31.1,13,47,53,28.3,38.1,56.6,49.7,68.1,43.3,42.4,Belgium,Hasselt University,200 to 300
146,2610,10.7,3,59,41,38.7,22.4,97.6,35.9,43.1,51.7,50.1,Italy,Vita-Salute San Raffaele University,100 to 200
149,7142,8.1,30,52,48,33.4,23.5,90.3,53.0,78.8,51.4,50.1,Austria,Medical University of Vienna,100 to 200
508,15118,12.6,1,55,45,17.5,8.9,7.8,34.7,35.2,13.8,10.7,Colombia,Pontifical Bolivarian University (UPB) � Medell�n,> 300
342,26105,16.7,9,65,35,21.4,17.7,48.2,35.1,52.6,31.0,28.3,Hungary,E�tv�s Lor�nd University,> 300
30,34519,34.7,17,61,39,68.4,77.0,88.8,100.0,67.2,77.8,77.8,Germany,LMU Munich,0 to 100
328,19087,11.2,14,52,48,36.4,25.2,29.2,35.6,56.4,32.4,28.3,Malaysia,Universiti Teknologi Malaysia,> 300
400,51684,14.0,3,30,70,18.8,13.4,40.8,53.8,23.1,25.0,22.2,China,Wuhan University of Technology,> 300
443,38059,15.9,2,25,75,17.9,16.6,20.8,81.0,24.3,20.4,10.7,China,Southwest Jiaotong University,> 300
509,7158,24.9,4,39,61,14.0,19.4,4.4,44.7,16.9,13.7,10.7,Taiwan,National Chin-Yi University of Technology,> 300
357,24754,19.8,5,52,48,26.9,23.0,37.0,39.4,30.9,29.4,28.3,United States,University of Arkansas,> 300
449,7874,18.1,0,47,53,31.1,10.2,17.2,35.0,17.6,19.7,10.7,India,University of Mumbai,> 300
281,27570,29.7,21,48,52,20.2,27.2,57.1,36.1,69.0,37.4,35.3,Canada,Carleton University,200 to 300
361,850,0.9,0,34,66,25.7,8.8,55.1,34.8,16.9,29.0,28.3,Japan,Nippon Medical School,> 300
441,4659,6.3,4,31,69,24.0,10.7,25.6,36.8,21.6,20.6,10.7,Japan,University of Yamanashi,> 300
382,30614,19.7,8,50,50,14.4,7.5,53.1,34.4,46.6,26.9,22.2,Pakistan,"International Islamic University, Islamabad",> 300
209,22892,7.4,11,32,68,51.5,49.0,34.6,63.0,36.0,44.8,44.5,Japan,Osaka University,200 to 300
476,42573,17.1,0,54,46,19.6,8.7,19.0,41.6,23.2,17.0,10.7,Brazil,Federal University of Rio Grande do Norte (UFRN),> 300
251,51546,18.4,2,0,0,32.0,33.9,56.0,84.1,26.0,40.6,38.8,China,Central South University,200 to 300
313,1274,9.5,0,32,68,31.7,19.5,54.1,35.1,21.5,34.1,28.3,India,"Indian Institute of Science Education and Research, Pune",> 300
479,43446,24.5,1,67,33,29.1,8.8,5.6,34.8,37.0,16.7,10.7,Algeria,University of Tlemcen,> 300
455,23098,14.1,2,49,51,29.2,8.6,18.7,35.3,16.8,19.1,10.7,India,Annamalai University,> 300
224,14749,14.3,25,40,60,33.8,34.3,52.9,39.0,80.1,43.3,42.4,United Kingdom,Loughborough University,200 to 300
529,25018,18.0,0,49,51,17.1,6.9,7.4,34.4,16.8,11.5,10.7,Brazil,Federal University of Mato Grosso do Sul,> 300
285,25747,11.5,17,65,35,30.5,23.5,50.5,50.6,58.4,37.0,35.3,China,East China Normal University,200 to 300
346,15150,18.7,4,0,0,24.0,26.1,39.2,88.0,21.7,30.6,28.3,China,"China University of Petroleum, Beijing",> 300
187,24308,26.1,8,55,45,29.5,34.6,74.4,59.1,54.8,47.1,46.9,South Africa,Stellenbosch University,100 to 200
359,15593,9.5,7,35,65,32.4,22.8,31.1,44.3,28.7,29.2,28.3,Japan,Kobe University,> 300
108,14978,16.1,39,54,46,35.3,37.9,91.8,35.9,93.6,57.4,57.4,United Kingdom,University of Sussex,100 to 200
178,9924,24.4,79,56,44,27.1,22.4,83.0,34.8,99.6,48.1,46.9,Macao,Macau University of Science and Technology,100 to 200
121,27185,19.5,14,0,0,30.0,46.4,85.0,36.6,81.3,55.4,55.4,Sweden,Stockholm University,100 to 200
283,7561,16.4,2,16,84,38.9,28.2,46.6,72.5,16.5,37.2,35.3,India,Indian Institute of Technology Roorkee,200 to 300
434,16126,21.4,3,47,53,17.3,16.7,23.6,74.0,29.2,21.3,10.7,Thailand,King Mongkut�s University of Technology Thonburi,> 300
408,13099,8.0,8,39,61,25.6,16.6,27.0,51.6,28.2,24.2,22.2,Japan,Okayama University,> 300
199,25541,34.7,12,55,45,33.8,29.1,73.4,39.1,53.6,45.9,44.5,Germany,University of Marburg,100 to 200
319,26641,18.8,9,51,49,32.7,21.1,43.3,40.2,43.8,33.4,28.3,United States,Auburn University,> 300
184,879,11.3,15,57,43,15.9,19.9,100.0,34.4,77.7,47.4,46.9,United Kingdom,Brighton and Sussex Medical School,100 to 200
202,41411,17.6,13,52,48,34.0,30.4,69.7,36.0,59.9,45.6,44.5,France,Grenoble Alpes University,200 to 300
275,28725,21.6,7,65,35,18.4,20.9,72.6,44.8,45.3,38.1,35.3,Italy,Catholic University of the Sacred Heart,200 to 300
67,12735,4.0,20,58,42,56.0,40.4,98.8,45.4,57.9,64.0,64.0,United States,Emory University,0 to 100
333,21536,14.3,9,50,50,25.0,20.4,45.8,41.9,47.2,31.9,28.3,United States,Kansas State University,> 300
277,35363,10.8,1,58,42,19.9,8.7,82.6,37.9,46.0,37.8,35.3,Egypt,Suez Canal University,200 to 300
253,22393,40.8,0,59,41,11.9,8.7,100.0,34.4,44.6,40.4,38.8,Egypt,Aswan University,200 to 300
511,72792,21.5,0,52,48,13.3,7.9,14.3,35.3,26.2,13.5,10.7,Mexico,Autonomous University of Sinaloa,> 300
382,7780,12.9,16,58,42,17.3,13.5,40.2,35.3,63.1,26.9,22.2,Portugal,University of Algarve,> 300
452,18361,13.5,1,66,34,19.4,7.7,24.5,34.4,41.1,19.4,10.7,Tunisia,University of Manouba,> 300
234,36660,29.2,4,58,42,25.4,28.7,70.1,36.8,55.0,42.3,38.8,South Africa,University of KwaZulu-Natal,200 to 300
170,25849,17.4,17,44,56,37.2,32.7,73.8,42.1,64.7,49.0,46.9,United States,University at Buffalo,100 to 200
199,12904,15.7,11,55,45,36.7,33.7,69.2,34.4,42.3,45.9,44.5,United States,Boston College,100 to 200
287,31425,35.8,13,28,72,26.2,25.4,55.3,50.8,46.5,36.8,35.3,Italy,Polytechnic University of Turin,200 to 300
312,5733,12.7,22,34,66,20.1,17.7,59.1,36.5,56.2,34.2,28.3,United States,Worcester Polytechnic Institute,> 300
415,9895,21.8,14,43,57,17.6,13.2,27.8,47.3,60.2,23.3,22.2,Estonia,Tallinn University of Technology,> 300
185,20566,17.0,10,57,43,28.5,38.2,71.5,90.6,47.2,47.3,46.9,United States,University of Delaware,100 to 200
241,7019,16.0,6,58,42,30.0,24.7,70.3,40.4,40.6,41.6,38.8,United States,University of Missouri-St Louis,200 to 300
225,10961,16.3,36,47,53,26.9,26.9,63.2,36.8,95.3,43.2,42.4,United Kingdom,Brunel University London,200 to 300
238,14703,21.8,5,36,64,32.4,31.5,56.8,36.5,63.7,41.9,38.8,Israel,Technion Israel Institute of Technology,200 to 300
184,26004,45.8,20,32,68,41.8,45.4,52.4,61.1,53.1,47.4,46.9,Germany,University of Stuttgart,100 to 200
280,4226,10.2,29,22,78,29.4,21.1,48.9,60.9,81.8,37.5,35.3,France,CentraleSup�lec,200 to 300
496,15704,26.8,10,54,46,15.0,12.6,10.6,37.7,34.6,15.0,10.7,Taiwan,Tunghai University,> 300
295,2476,13.5,39,49,51,24.4,19.9,47.9,51.5,94.2,36.0,35.3,New Zealand,Lincoln University,200 to 300
501,8271,18.5,0,36,64,23.3,10.7,7.7,34.7,14.5,14.5,10.7,India,Cochin University of Science and Technology,> 300
524,26215,29.4,2,66,34,12.5,9.3,10.8,35.9,20.9,12.2,10.7,Turkey,Istanbul Medipol University,> 300
34,49165,17.2,10,52,48,68.2,76.2,93.2,46.6,39.1,75.4,75.4,United States,University of Texas at Austin,0 to 100
112,12104,13.7,12,45,55,52.9,46.2,73.5,38.1,55.3,56.9,56.9,United States,University of Notre Dame,100 to 200
117,12399,15.7,39,57,43,30.4,33.3,95.2,45.8,95.7,56.0,56.0,United Kingdom,University of Aberdeen,100 to 200
266,26014,16.3,6,53,47,27.8,25.3,64.1,38.4,38.4,39.0,38.8,United States,"Colorado State University, Fort Collins",200 to 300
378,11779,29.8,5,61,39,17.3,33.7,23.0,100.0,34.1,27.3,22.2,Taiwan,"Asia University, Taiwan",> 300
370,16859,11.3,22,56,44,19.6,16.1,40.9,37.5,55.9,28.1,22.2,Hungary,University of P�cs,> 300
356,20043,22.5,2,0,0,15.7,12.3,56.8,40.1,41.3,29.5,28.3,Croatia,University of Split,> 300
205,13089,18.0,24,50,50,24.3,27.2,72.7,38.5,93.1,45.2,44.5,New Zealand,University of Canterbury,200 to 300
142,2362,8.9,13,48,52,45.2,43.5,63.9,47.0,70.7,52.3,50.1,France,�cole Normale Sup�rieure de Lyon,100 to 200
370,34979,15.9,2,42,58,16.6,12.1,54.6,49.5,25.6,28.1,22.2,China,Fuzhou University,> 300
64,20599,13.2,41,49,51,46.9,52.7,88.8,42.8,93.8,64.6,64.6,United Kingdom,University of Warwick,0 to 100
306,25484,10.6,16,28,72,23.7,17.2,56.9,41.2,59.1,34.8,28.3,Spain,Polytechnic University of Catalonia,> 300
415,20601,20.7,5,45,55,22.9,20.4,23.8,39.6,29.0,23.3,22.2,South Korea,Chonbuk National University,> 300
445,8448,24.6,0,44,56,17.7,13.8,27.8,35.9,18.2,20.1,10.7,Iran,Shahrood University of Technology,> 300
165,9209,12.5,17,32,68,36.1,42.1,60.0,74.1,82.9,49.5,46.9,Sweden,Chalmers University of Technology,100 to 200
222,29311,29.4,17,53,47,28.0,30.8,69.9,36.5,53.4,43.5,42.4,Canada,University of Manitoba,200 to 300
312,12225,23.2,16,70,30,33.0,37.9,27.5,44.3,47.7,34.2,28.3,South Korea,Konkuk University,> 300
385,19803,11.6,29,60,40,36.3,11.3,25.2,37.0,51.6,26.6,22.2,Russian Federation,RUDN University,> 300
109,22622,60.6,24,34,66,50.4,53.9,62.3,92.7,66.2,57.3,57.3,Germany,Technical University of Berlin,100 to 200
282,47886,17.7,12,52,48,25.2,29.8,52.7,39.2,53.8,37.3,35.3,Portugal,University of Lisbon,200 to 300
466,11640,11.4,20,44,56,20.5,12.6,14.9,38.2,34.6,18.0,10.7,Russian Federation,Novosibirsk State Technical University,> 300
484,12922,11.9,1,52,48,18.1,9.3,19.6,34.5,16.0,16.2,10.7,Brazil,Santa Catarina State University,> 300
293,32951,11.6,5,40,60,29.6,33.4,42.7,97.3,26.9,36.2,35.3,China,Southeast University,200 to 300
382,18403,21.4,2,51,49,22.1,19.0,38.0,66.9,19.6,26.9,22.2,Iran,Shahid Beheshti University,> 300
377,5936,13.7,5,55,45,27.0,25.1,20.2,35.5,64.1,27.4,22.2,Egypt,American University in Cairo,> 300
374,28211,10.3,6,54,46,22.0,13.4,43.8,38.6,39.4,27.7,22.2,Spain,University of Zaragoza,> 300
314,33015,20.6,9,46,54,30.8,20.9,46.5,36.2,48.4,34.0,28.3,United States,Texas Tech University,> 300
384,16216,10.8,9,65,35,19.9,14.3,37.1,46.6,55.6,26.7,22.2,Lithuania,Vilnius University,> 300
486,12452,52.1,0,39,61,13.9,8.8,19.1,34.4,34.7,16.0,10.7,Pakistan,PMAS Arid Agriculture University Rawalpindi,> 300
112,32309,34.2,14,42,58,46.5,48.5,73.0,94.1,55.8,56.9,56.9,Germany,TU Dresden,100 to 200
512,8078,6.3,6,72,28,23.2,9.5,3.5,37.9,21.0,13.4,10.7,Russian Federation,Pirogov Russian National Research Medical University,> 300
102,31919,21.0,26,55,45,47.9,48.8,70.3,60.5,87.5,58.2,58.2,Canada,University of Alberta,100 to 200
506,15412,31.4,1,29,71,15.6,10.0,11.6,35.5,26.2,14.0,10.7,Japan,Meijo University,> 300
190,4128,9.6,1,23,77,58.6,55.3,32.4,57.1,20.2,46.8,44.5,India,Indian Institute of Science,100 to 200
323,14510,16.9,15,100,0,29.9,30.8,31.4,69.9,46.7,32.9,28.3,South Korea,Ewha Womans University,> 300
430,15664,14.8,19,53,47,16.2,9.2,27.9,34.9,64.0,21.7,10.7,United Kingdom,University of South Wales,> 300
449,15935,24.4,1,42,58,17.3,15.9,16.0,50.0,48.6,19.7,10.7,Chile,Pontifical Catholic University of Valpara�so,> 300
131,17744,14.6,22,47,53,51.2,52.6,53.0,98.9,58.4,53.9,53.9,South Korea,Yonsei University (Seoul campus),100 to 200
11,20578,6.5,21,52,48,87.5,90.4,98.2,74.0,65.0,89.6,89.6,United States,University of Pennsylvania,0 to 100
338,35086,22.0,8,57,43,25.1,30.1,33.0,41.8,52.0,31.4,28.3,South Africa,University of Pretoria,> 300
268,22873,16.7,2,34,66,14.8,10.8,95.9,36.5,19.2,38.8,38.8,Japan,Teikyo University,200 to 300
348,7090,11.3,26,41,59,24.3,23.7,29.1,84.2,68.9,30.4,28.3,Russian Federation,National University of Science and Technology (MISiS),> 300
290,30799,30.5,8,55,45,23.7,24.4,62.0,35.1,33.9,36.5,35.3,United States,San Diego State University,200 to 300
387,7832,15.5,0,41,59,37.3,10.0,32.6,35.0,20.4,26.4,22.2,India,Sri Venkateswara University,> 300
